slot_id,pantalla_estacion,estado,emisor_sugerido,tipo_texto,asset_primary,asset_secondary,asset_role,visual_status,atlas_note
PORTADA_LOCKED_II_01,Portada,portal_blocked,Lía o sistema,Bloqueo suave,gvo_atlas_006b_005_portada_portal_bloqueado_actual.png,gvo_atlas_006c_202_ref_portada_archivo_vivo.png,estado_especifico,cubierto,Imagen representativa compartida por patrón visual o estado.
PORTADA_LOCKED_III_01,Portada,portal_blocked,Lía o sistema,Bloqueo suave,gvo_atlas_006b_005_portada_portal_bloqueado_actual.png,gvo_atlas_006c_202_ref_portada_archivo_vivo.png,estado_especifico,cubierto,Imagen representativa compartida por patrón visual o estado.
PORTADA_LOCKED_IV_01,Portada,portal_blocked,Lía o sistema,Bloqueo suave,gvo_atlas_006b_005_portada_portal_bloqueado_actual.png,gvo_atlas_006c_202_ref_portada_archivo_vivo.png,estado_especifico,cubierto,Imagen representativa compartida por patrón visual o estado.
PORTADA_LOCKED_V_01,Portada,portal_blocked,Lía o sistema,Bloqueo suave,gvo_atlas_006b_005_portada_portal_bloqueado_actual.png,gvo_atlas_006c_202_ref_portada_archivo_vivo.png,estado_especifico,cubierto,Imagen representativa compartida por patrón visual o estado.
PORTADA_PORTAL_I_READY_01,Portada,portal_1_ready,Lía,Confirmación,gvo_atlas_006b_004_portada_dialogo_05_actual.png,gvo_atlas_006c_202_ref_portada_archivo_vivo.png,estado_especifico,cubierto,Imagen representativa compartida por patrón visual o estado.
PORTADA_FREE_REVIEW_HELP_01,Portada,free_review_mode,Sistema / Lía,Ayuda breve,gvo_atlas_006b_002_portada_inicio_actual.png,gvo_atlas_006c_202_ref_portada_archivo_vivo.png,estado_especifico,cubierto,Imagen representativa compartida por patrón visual o estado.
TRANS_INTRO_W1_TITLE_01,Transición entre mundos,Intro → Mundo I,Sistema / ambiente,Texto principal,gvo_atlas_006b_006_transicion_mundo_i_actual.png,gvo_atlas_006c_203_ref_transicion_entre_mundos.png,estado_especifico,cubierto,Imagen representativa compartida por patrón visual o estado.
TRANS_INTRO_W1_SUB_01,Transición entre mundos,Intro → Mundo I,Sistema / ambiente,Texto secundario,gvo_atlas_006b_006_transicion_mundo_i_actual.png,gvo_atlas_006c_203_ref_transicion_entre_mundos.png,estado_especifico,cubierto,Imagen representativa compartida por patrón visual o estado.
TRANS_W1_W2_TITLE_01,Transición entre mundos,Mundo I → Mundo II,Sistema / ambiente,Texto principal,gvo_atlas_006b_103_transicion_generica_entre_mundos_mockup.png,gvo_atlas_006c_203_ref_transicion_entre_mundos.png,patron_visual,cubierto_con_mockup,Mockup genérico aprobado para transiciones posteriores aún no capturadas en runtime.
TRANS_W1_W2_SUB_01,Transición entre mundos,Mundo I → Mundo II,Sistema / ambiente,Texto secundario,gvo_atlas_006b_103_transicion_generica_entre_mundos_mockup.png,gvo_atlas_006c_203_ref_transicion_entre_mundos.png,patron_visual,cubierto_con_mockup,Mockup genérico aprobado para transiciones posteriores aún no capturadas en runtime.
TRANS_W2_W3_TITLE_01,Transición entre mundos,Mundo II → Mundo III,Sistema / ambiente,Texto principal,gvo_atlas_006b_103_transicion_generica_entre_mundos_mockup.png,gvo_atlas_006c_203_ref_transicion_entre_mundos.png,patron_visual,cubierto_con_mockup,Mockup genérico aprobado para transiciones posteriores aún no capturadas en runtime.
TRANS_W2_W3_SUB_01,Transición entre mundos,Mundo II → Mundo III,Sistema / ambiente,Texto secundario,gvo_atlas_006b_103_transicion_generica_entre_mundos_mockup.png,gvo_atlas_006c_203_ref_transicion_entre_mundos.png,patron_visual,cubierto_con_mockup,Mockup genérico aprobado para transiciones posteriores aún no capturadas en runtime.
TRANS_W3_W4_TITLE_01,Transición entre mundos,Mundo III → Mundo IV,Sistema / ambiente,Texto principal,gvo_atlas_006b_103_transicion_generica_entre_mundos_mockup.png,gvo_atlas_006c_203_ref_transicion_entre_mundos.png,patron_visual,cubierto_con_mockup,Mockup genérico aprobado para transiciones posteriores aún no capturadas en runtime.
TRANS_W3_W4_SUB_01,Transición entre mundos,Mundo III → Mundo IV,Sistema / ambiente,Texto secundario,gvo_atlas_006b_103_transicion_generica_entre_mundos_mockup.png,gvo_atlas_006c_203_ref_transicion_entre_mundos.png,patron_visual,cubierto_con_mockup,Mockup genérico aprobado para transiciones posteriores aún no capturadas en runtime.
TRANS_W4_W5_TITLE_01,Transición entre mundos,Mundo IV → Mundo V,Sistema / ambiente,Texto principal,gvo_atlas_006b_103_transicion_generica_entre_mundos_mockup.png,gvo_atlas_006c_203_ref_transicion_entre_mundos.png,patron_visual,cubierto_con_mockup,Mockup genérico aprobado para transiciones posteriores aún no capturadas en runtime.
TRANS_W4_W5_SUB_01,Transición entre mundos,Mundo IV → Mundo V,Sistema / ambiente,Texto secundario,gvo_atlas_006b_103_transicion_generica_entre_mundos_mockup.png,gvo_atlas_006c_203_ref_transicion_entre_mundos.png,patron_visual,cubierto_con_mockup,Mockup genérico aprobado para transiciones posteriores aún no capturadas en runtime.
TRANS_W5_FINAL_TITLE_01,Transición entre mundos,Mundo V → Final,Sistema / ambiente,Texto principal,gvo_atlas_006b_103_transicion_generica_entre_mundos_mockup.png,gvo_atlas_006c_203_ref_transicion_entre_mundos.png,patron_visual,cubierto_con_mockup,Mockup genérico aprobado para transiciones posteriores aún no capturadas en runtime.
TRANS_W5_FINAL_SUB_01,Transición entre mundos,Mundo V → Final,Sistema / ambiente,Texto secundario,gvo_atlas_006b_103_transicion_generica_entre_mundos_mockup.png,gvo_atlas_006c_203_ref_transicion_entre_mundos.png,patron_visual,cubierto_con_mockup,Mockup genérico aprobado para transiciones posteriores aún no capturadas en runtime.
W1_INTRO_LIA_01,Estación I — Mundo Raíz,w1_intro,Lía,Entrada,gvo_atlas_006b_007_mundo_i_intro_actual.png,gvo_atlas_006c_204_ref_estacion_i_mundo_raiz.png,estado_especifico,cubierto,Imagen representativa compartida por patrón visual o estado.
W1_INTRO_AMB_01,Estación I — Mundo Raíz,w1_intro,Ambiente,Texto ambiental,gvo_atlas_006b_007_mundo_i_intro_actual.png,gvo_atlas_006c_204_ref_estacion_i_mundo_raiz.png,estado_especifico,cubierto,Imagen representativa compartida por patrón visual o estado.
W1_RELACION_HINT_01,Estación I — Mundo Raíz,w1_relacion_available,Lía,Instrucción contextual,gvo_atlas_006b_007_mundo_i_intro_actual.png,gvo_atlas_006c_204_ref_estacion_i_mundo_raiz.png,estado_especifico,cubierto,Imagen representativa compartida por patrón visual o estado.
W1_RELACION_AMB_01,Estación I — Mundo Raíz,w1_relacion_active,Ambiente,Respuesta ambiental,gvo_atlas_006b_008_mundo_i_relacion_actual.png,gvo_atlas_006c_204_ref_estacion_i_mundo_raiz.png,estado_especifico,cubierto,Imagen representativa compartida por patrón visual o estado.
W1_RELACION_CONFIRM_01,Estación I — Mundo Raíz,w1_relacion_active,Lía,Confirmación breve,gvo_atlas_006b_008_mundo_i_relacion_actual.png,gvo_atlas_006c_204_ref_estacion_i_mundo_raiz.png,estado_especifico,cubierto,Imagen representativa compartida por patrón visual o estado.
W1_PERCEPCION_HINT_01,Estación I — Mundo Raíz,w1_percepcion_available,Lía,Instrucción contextual,gvo_atlas_006b_008_mundo_i_relacion_actual.png,gvo_atlas_006c_204_ref_estacion_i_mundo_raiz.png,estado_especifico,cubierto,Imagen representativa compartida por patrón visual o estado.
W1_PERCEPCION_AMB_01,Estación I — Mundo Raíz,w1_percepcion_active,Ambiente,Respuesta ambiental,gvo_atlas_006b_009_mundo_i_percepcion_actual.png,gvo_atlas_006c_204_ref_estacion_i_mundo_raiz.png,estado_especifico,cubierto,Imagen representativa compartida por patrón visual o estado.
W1_PERCEPCION_CONFIRM_01,Estación I — Mundo Raíz,w1_percepcion_active,Lía,Confirmación breve,gvo_atlas_006b_009_mundo_i_percepcion_actual.png,gvo_atlas_006c_204_ref_estacion_i_mundo_raiz.png,estado_especifico,cubierto,Imagen representativa compartida por patrón visual o estado.
W1_MEDIACION_HINT_01,Estación I — Mundo Raíz,w1_mediacion_available,Lía,Instrucción contextual,gvo_atlas_006b_009_mundo_i_percepcion_actual.png,gvo_atlas_006c_204_ref_estacion_i_mundo_raiz.png,estado_especifico,cubierto,Imagen representativa compartida por patrón visual o estado.
W1_MEDIACION_AMB_01,Estación I — Mundo Raíz,w1_mediacion_active,Ambiente,Respuesta ambiental,gvo_atlas_006b_010_mundo_i_mediacion_actual.png,gvo_atlas_006c_204_ref_estacion_i_mundo_raiz.png,estado_especifico,cubierto,Imagen representativa compartida por patrón visual o estado.
W1_MEDIACION_CONFIRM_01,Estación I — Mundo Raíz,w1_mediacion_active,Lía,Confirmación breve,gvo_atlas_006b_010_mundo_i_mediacion_actual.png,gvo_atlas_006c_204_ref_estacion_i_mundo_raiz.png,estado_especifico,cubierto,Imagen representativa compartida por patrón visual o estado.
W1_NODE_LOCKED_01,Estación I — Mundo Raíz,w1_node_locked,Lía o sistema,Bloqueo suave,gvo_atlas_006b_101_mundo_i_bloqueo_suave_mockup.png,gvo_atlas_006b_012_mundo_i_bloqueo_actual.png,patron_visual,cubierto_con_mockup,Imagen representativa compartida por patrón visual o estado.
W1_NODE_REPEAT_01,Estación I — Mundo Raíz,w1_node_locked,Lía o sistema,Relectura / repetición,gvo_atlas_006b_101_mundo_i_bloqueo_suave_mockup.png,gvo_atlas_006b_012_mundo_i_bloqueo_actual.png,patron_visual,cubierto_con_mockup,Imagen representativa compartida por patrón visual o estado.
W1_COMPLETE_LIA_01,Estación I — Mundo Raíz,w1_complete,Lía,Cierre,gvo_atlas_006b_102_mundo_i_cierre_esperado_mockup.png,gvo_atlas_006b_011_mundo_i_listo_actual.png,patron_visual,cubierto_con_mockup,Imagen representativa compartida por patrón visual o estado.
W1_COMPLETE_AMB_01,Estación I — Mundo Raíz,w1_complete,Ambiente,Cierre ambiental,gvo_atlas_006b_102_mundo_i_cierre_esperado_mockup.png,gvo_atlas_006b_011_mundo_i_listo_actual.png,patron_visual,cubierto_con_mockup,Imagen representativa compartida por patrón visual o estado.
W1_CONTINUE_BTN_01,Estación I — Mundo Raíz,w1_complete,Sistema / interfaz,Botón,gvo_atlas_006b_102_mundo_i_cierre_esperado_mockup.png,gvo_atlas_006b_011_mundo_i_listo_actual.png,patron_visual,cubierto_con_mockup,Imagen representativa compartida por patrón visual o estado.
W1_ACCESSIBLE_SCENE_01,Estación I — Mundo Raíz,w1_intro,Sistema / accesibilidad,Descripción accesible,gvo_atlas_006b_007_mundo_i_intro_actual.png,gvo_atlas_006c_204_ref_estacion_i_mundo_raiz.png,estado_especifico,cubierto,Imagen representativa compartida por patrón visual o estado.
W1_ACCESSIBLE_RELACION_01,Estación I — Mundo Raíz,w1_relacion_active,Sistema / accesibilidad,Descripción accesible,gvo_atlas_006b_008_mundo_i_relacion_actual.png,gvo_atlas_006c_204_ref_estacion_i_mundo_raiz.png,estado_especifico,cubierto,Imagen representativa compartida por patrón visual o estado.
W1_ACCESSIBLE_PERCEPCION_01,Estación I — Mundo Raíz,w1_percepcion_active,Sistema / accesibilidad,Descripción accesible,gvo_atlas_006b_009_mundo_i_percepcion_actual.png,gvo_atlas_006c_204_ref_estacion_i_mundo_raiz.png,estado_especifico,cubierto,Imagen representativa compartida por patrón visual o estado.
W1_ACCESSIBLE_MEDIACION_01,Estación I — Mundo Raíz,w1_mediacion_active,Sistema / accesibilidad,Descripción accesible,gvo_atlas_006b_010_mundo_i_mediacion_actual.png,gvo_atlas_006c_204_ref_estacion_i_mundo_raiz.png,estado_especifico,cubierto,Imagen representativa compartida por patrón visual o estado.
W2_INTRO_LIA_01,Estación II — Pulso invisible,w2_intro,Lía,Entrada,gvo_atlas_006b_104_mundo_ii_intro_conceptual_mockup.png,gvo_atlas_006c_205_ref_estacion_ii_pulso_invisible.png,patron_visual,cubierto_con_mockup,Mockup aprobado de introducción conceptual Mundo II. Grupo visual: w2_intro.
W2_INTRO_AMB_01,Estación II — Pulso invisible,w2_intro,Ambiente,Texto ambiental,gvo_atlas_006b_104_mundo_ii_intro_conceptual_mockup.png,gvo_atlas_006c_205_ref_estacion_ii_pulso_invisible.png,patron_visual,cubierto_con_mockup,Mockup aprobado de introducción conceptual Mundo II. Grupo visual: w2_intro.
W2_PLANTA_HINT_01,Estación II — Pulso invisible,w2_planta_available,Lía,Instrucción contextual,gvo_atlas_006d_201_mundo_ii_planta_viva_mockup.png,gvo_atlas_006c_205_ref_estacion_ii_pulso_invisible.png,estado_especifico,cubierto_con_mockup,Mockup aprobado 006D2 para planta viva. Grupo visual: w2_planta_viva.
W2_PLANTA_AMB_01,Estación II — Pulso invisible,w2_planta_active,Ambiente,Respuesta ambiental,gvo_atlas_006d_201_mundo_ii_planta_viva_mockup.png,gvo_atlas_006c_205_ref_estacion_ii_pulso_invisible.png,estado_especifico,cubierto_con_mockup,Mockup aprobado 006D2 para planta viva. Grupo visual: w2_planta_viva.
W2_PLANTA_CONFIRM_01,Estación II — Pulso invisible,w2_planta_active,Lía,Confirmación breve,gvo_atlas_006d_201_mundo_ii_planta_viva_mockup.png,gvo_atlas_006c_205_ref_estacion_ii_pulso_invisible.png,estado_especifico,cubierto_con_mockup,Mockup aprobado 006D2 para planta viva. Grupo visual: w2_planta_viva.
W2_SENAL_HINT_01,Estación II — Pulso invisible,w2_senal_available,Lía,Instrucción contextual,gvo_atlas_006b_105_mundo_ii_capa_senal_mockup.png,gvo_atlas_006c_205_ref_estacion_ii_pulso_invisible.png,estado_especifico,cubierto_con_mockup,Mockup aprobado para capa SEÑAL. Grupo visual: w2_senal.
W2_SENAL_AMB_01,Estación II — Pulso invisible,w2_senal_active,Ambiente,Respuesta ambiental,gvo_atlas_006b_105_mundo_ii_capa_senal_mockup.png,gvo_atlas_006c_205_ref_estacion_ii_pulso_invisible.png,estado_especifico,cubierto_con_mockup,Mockup aprobado para capa SEÑAL. Grupo visual: w2_senal.
W2_SENAL_CONFIRM_01,Estación II — Pulso invisible,w2_senal_active,Lía,Confirmación breve,gvo_atlas_006b_105_mundo_ii_capa_senal_mockup.png,gvo_atlas_006c_205_ref_estacion_ii_pulso_invisible.png,estado_especifico,cubierto_con_mockup,Mockup aprobado para capa SEÑAL. Grupo visual: w2_senal.
W2_CAPTURA_HINT_01,Estación II — Pulso invisible,w2_captura_available,Lía,Instrucción contextual,gvo_atlas_006d_202_mundo_ii_captura_mockup.png,gvo_atlas_006c_205_ref_estacion_ii_pulso_invisible.png,estado_especifico,cubierto_con_mockup,Mockup aprobado 006D2 para captura. Grupo visual: w2_captura.
W2_CAPTURA_AMB_01,Estación II — Pulso invisible,w2_captura_active,Ambiente,Respuesta ambiental,gvo_atlas_006d_202_mundo_ii_captura_mockup.png,gvo_atlas_006c_205_ref_estacion_ii_pulso_invisible.png,estado_especifico,cubierto_con_mockup,Mockup aprobado 006D2 para captura. Grupo visual: w2_captura.
W2_CAPTURA_CONFIRM_01,Estación II — Pulso invisible,w2_captura_active,Lía,Confirmación breve,gvo_atlas_006d_202_mundo_ii_captura_mockup.png,gvo_atlas_006c_205_ref_estacion_ii_pulso_invisible.png,estado_especifico,cubierto_con_mockup,Mockup aprobado 006D2 para captura. Grupo visual: w2_captura.
W2_ACONDICIONAMIENTO_HINT_01,Estación II — Pulso invisible,w2_acondicionamiento_available,Lía,Instrucción contextual,gvo_atlas_006d_203_mundo_ii_acondicionamiento_mockup.png,gvo_atlas_006c_205_ref_estacion_ii_pulso_invisible.png,estado_especifico,cubierto_con_mockup,Mockup aprobado 006D2 para acondicionamiento. Grupo visual: w2_acondicionamiento.
W2_ACONDICIONAMIENTO_AMB_01,Estación II — Pulso invisible,w2_acondicionamiento_active,Ambiente,Respuesta ambiental,gvo_atlas_006d_203_mundo_ii_acondicionamiento_mockup.png,gvo_atlas_006c_205_ref_estacion_ii_pulso_invisible.png,estado_especifico,cubierto_con_mockup,Mockup aprobado 006D2 para acondicionamiento. Grupo visual: w2_acondicionamiento.
W2_ACONDICIONAMIENTO_CONFIRM_01,Estación II — Pulso invisible,w2_acondicionamiento_active,Lía,Confirmación breve,gvo_atlas_006d_203_mundo_ii_acondicionamiento_mockup.png,gvo_atlas_006c_205_ref_estacion_ii_pulso_invisible.png,estado_especifico,cubierto_con_mockup,Mockup aprobado 006D2 para acondicionamiento. Grupo visual: w2_acondicionamiento.
W2_MAPEO_HINT_01,Estación II — Pulso invisible,w2_mapeo_available,Lía,Instrucción contextual,gvo_atlas_006d_204_mundo_ii_mapeo_mockup.png,gvo_atlas_006c_205_ref_estacion_ii_pulso_invisible.png,estado_especifico,cubierto_con_mockup,Mockup aprobado 006D2 para mapeo. Grupo visual: w2_mapeo.
W2_MAPEO_AMB_01,Estación II — Pulso invisible,w2_mapeo_active,Ambiente,Respuesta ambiental,gvo_atlas_006d_204_mundo_ii_mapeo_mockup.png,gvo_atlas_006c_205_ref_estacion_ii_pulso_invisible.png,estado_especifico,cubierto_con_mockup,Mockup aprobado 006D2 para mapeo. Grupo visual: w2_mapeo.
W2_MAPEO_CONFIRM_01,Estación II — Pulso invisible,w2_mapeo_active,Lía,Confirmación breve,gvo_atlas_006d_204_mundo_ii_mapeo_mockup.png,gvo_atlas_006c_205_ref_estacion_ii_pulso_invisible.png,estado_especifico,cubierto_con_mockup,Mockup aprobado 006D2 para mapeo. Grupo visual: w2_mapeo.
W2_RESULTADO_HINT_01,Estación II — Pulso invisible,w2_resultado_available,Lía,Instrucción contextual,gvo_atlas_006d_205_mundo_ii_resultado_mediado_mockup.png,gvo_atlas_006c_205_ref_estacion_ii_pulso_invisible.png,estado_especifico,cubierto_con_mockup,Mockup aprobado 006D2 para resultado mediado. Grupo visual: w2_resultado_mediado.
W2_RESULTADO_AMB_01,Estación II — Pulso invisible,w2_resultado_active,Ambiente,Respuesta ambiental,gvo_atlas_006d_205_mundo_ii_resultado_mediado_mockup.png,gvo_atlas_006c_205_ref_estacion_ii_pulso_invisible.png,estado_especifico,cubierto_con_mockup,Mockup aprobado 006D2 para resultado mediado. Grupo visual: w2_resultado_mediado.
W2_RESULTADO_CONFIRM_01,Estación II — Pulso invisible,w2_resultado_active,Lía,Confirmación breve,gvo_atlas_006d_205_mundo_ii_resultado_mediado_mockup.png,gvo_atlas_006c_205_ref_estacion_ii_pulso_invisible.png,estado_especifico,cubierto_con_mockup,Mockup aprobado 006D2 para resultado mediado. Grupo visual: w2_resultado_mediado.
W2_LAYER_LOCKED_01,Estación II — Pulso invisible,w2_layer_locked,Lía o sistema,Bloqueo suave,gvo_atlas_006d_206_mundo_ii_bloqueo_suave_mockup.png,gvo_atlas_006c_205_ref_estacion_ii_pulso_invisible.png,patron_visual,cubierto_con_mockup,Mockup aprobado 006D2 para bloqueo o repetición de capa. Grupo visual: w2_bloqueo_suave.
W2_LAYER_REPEAT_01,Estación II — Pulso invisible,w2_layer_locked,Lía o sistema,Relectura / repetición,gvo_atlas_006d_206_mundo_ii_bloqueo_suave_mockup.png,gvo_atlas_006c_205_ref_estacion_ii_pulso_invisible.png,patron_visual,cubierto_con_mockup,Mockup aprobado 006D2 para bloqueo o repetición de capa. Grupo visual: w2_bloqueo_suave.
W2_COMPLETE_LIA_01,Estación II — Pulso invisible,w2_complete,Lía,Cierre,gvo_atlas_006d_207_mundo_ii_cierre_esperado_mockup.png,gvo_atlas_006c_205_ref_estacion_ii_pulso_invisible.png,patron_visual,cubierto_con_mockup,Mockup aprobado 006D2 para cierre y continuar. Grupo visual: w2_cierre_esperado.
W2_COMPLETE_AMB_01,Estación II — Pulso invisible,w2_complete,Ambiente,Cierre ambiental,gvo_atlas_006d_207_mundo_ii_cierre_esperado_mockup.png,gvo_atlas_006c_205_ref_estacion_ii_pulso_invisible.png,patron_visual,cubierto_con_mockup,Mockup aprobado 006D2 para cierre y continuar. Grupo visual: w2_cierre_esperado.
W2_CONTINUE_BTN_01,Estación II — Pulso invisible,w2_complete,Sistema / interfaz,Botón,gvo_atlas_006d_207_mundo_ii_cierre_esperado_mockup.png,gvo_atlas_006c_205_ref_estacion_ii_pulso_invisible.png,patron_visual,cubierto_con_mockup,Mockup aprobado 006D2 para cierre y continuar. Grupo visual: w2_cierre_esperado.
W2_ACCESSIBLE_SCENE_01,Estación II — Pulso invisible,w2_intro,Sistema / accesibilidad,Descripción accesible,gvo_atlas_006b_104_mundo_ii_intro_conceptual_mockup.png,gvo_atlas_006c_205_ref_estacion_ii_pulso_invisible.png,patron_visual,cubierto_con_mockup,Mockup aprobado de introducción conceptual Mundo II. Grupo visual: w2_intro.
W2_ACCESSIBLE_PLANTA_01,Estación II — Pulso invisible,w2_planta_active,Sistema / accesibilidad,Descripción accesible,gvo_atlas_006d_201_mundo_ii_planta_viva_mockup.png,gvo_atlas_006c_205_ref_estacion_ii_pulso_invisible.png,estado_especifico,cubierto_con_mockup,Mockup aprobado 006D2 para planta viva. Grupo visual: w2_planta_viva.
W2_ACCESSIBLE_SENAL_01,Estación II — Pulso invisible,w2_senal_active,Sistema / accesibilidad,Descripción accesible,gvo_atlas_006b_105_mundo_ii_capa_senal_mockup.png,gvo_atlas_006c_205_ref_estacion_ii_pulso_invisible.png,estado_especifico,cubierto_con_mockup,Mockup aprobado para capa SEÑAL. Grupo visual: w2_senal.
W2_ACCESSIBLE_CAPTURA_01,Estación II — Pulso invisible,w2_captura_active,Sistema / accesibilidad,Descripción accesible,gvo_atlas_006d_202_mundo_ii_captura_mockup.png,gvo_atlas_006c_205_ref_estacion_ii_pulso_invisible.png,estado_especifico,cubierto_con_mockup,Mockup aprobado 006D2 para captura. Grupo visual: w2_captura.
W2_ACCESSIBLE_ACONDICIONAMIENTO_01,Estación II — Pulso invisible,w2_acondicionamiento_active,Sistema / accesibilidad,Descripción accesible,gvo_atlas_006d_203_mundo_ii_acondicionamiento_mockup.png,gvo_atlas_006c_205_ref_estacion_ii_pulso_invisible.png,estado_especifico,cubierto_con_mockup,Mockup aprobado 006D2 para acondicionamiento. Grupo visual: w2_acondicionamiento.
W2_ACCESSIBLE_MAPEO_01,Estación II — Pulso invisible,w2_mapeo_active,Sistema / accesibilidad,Descripción accesible,gvo_atlas_006d_204_mundo_ii_mapeo_mockup.png,gvo_atlas_006c_205_ref_estacion_ii_pulso_invisible.png,estado_especifico,cubierto_con_mockup,Mockup aprobado 006D2 para mapeo. Grupo visual: w2_mapeo.
W2_ACCESSIBLE_RESULTADO_01,Estación II — Pulso invisible,w2_resultado_active,Sistema / accesibilidad,Descripción accesible,gvo_atlas_006d_205_mundo_ii_resultado_mediado_mockup.png,gvo_atlas_006c_205_ref_estacion_ii_pulso_invisible.png,estado_especifico,cubierto_con_mockup,Mockup aprobado 006D2 para resultado mediado. Grupo visual: w2_resultado_mediado.
W3_INTRO_LIA_01,Estación III — Cuaderno Pixel,w3_intro,Lía,Entrada,gvo_atlas_006c_206_ref_estacion_iii_cuaderno_pixel.png,,referencia_base,cubierto_con_referencia,Referencia base suficiente para introducción conceptual.
W3_INTRO_AMB_01,Estación III — Cuaderno Pixel,w3_intro,Ambiente,Texto ambiental,gvo_atlas_006c_206_ref_estacion_iii_cuaderno_pixel.png,,referencia_base,cubierto_con_referencia,Referencia base suficiente para introducción conceptual.
W3_PLANTA_HINT_01,Estación III — Cuaderno Pixel,w3_planta_available,Lía,Instrucción contextual,gvo_atlas_006c_206_ref_estacion_iii_cuaderno_pixel.png,,referencia_base,pendiente_mockup,Referencia base temporal; requiere mockup o captura específica posterior.
W3_PLANTA_NOTE_01,Estación III — Cuaderno Pixel,w3_planta_active,Cuaderno / ambiente,Nota de bitácora,gvo_atlas_006c_206_ref_estacion_iii_cuaderno_pixel.png,,referencia_base,pendiente_mockup,Referencia base temporal; requiere mockup o captura específica posterior.
W3_PLANTA_CONFIRM_01,Estación III — Cuaderno Pixel,w3_planta_active,Lía,Confirmación breve,gvo_atlas_006c_206_ref_estacion_iii_cuaderno_pixel.png,,referencia_base,pendiente_mockup,Referencia base temporal; requiere mockup o captura específica posterior.
W3_PROTOTIPO_HINT_01,Estación III — Cuaderno Pixel,w3_prototipo_available,Lía,Instrucción contextual,gvo_atlas_006c_206_ref_estacion_iii_cuaderno_pixel.png,,referencia_base,pendiente_mockup,Referencia base temporal; requiere mockup o captura específica posterior.
W3_PROTOTIPO_NOTE_01,Estación III — Cuaderno Pixel,w3_prototipo_active,Cuaderno / ambiente,Nota de bitácora,gvo_atlas_006c_206_ref_estacion_iii_cuaderno_pixel.png,,referencia_base,pendiente_mockup,Referencia base temporal; requiere mockup o captura específica posterior.
W3_PROTOTIPO_CONFIRM_01,Estación III — Cuaderno Pixel,w3_prototipo_active,Lía,Confirmación breve,gvo_atlas_006c_206_ref_estacion_iii_cuaderno_pixel.png,,referencia_base,pendiente_mockup,Referencia base temporal; requiere mockup o captura específica posterior.
W3_SENAL_HINT_01,Estación III — Cuaderno Pixel,w3_senal_available,Lía,Instrucción contextual,gvo_atlas_006c_206_ref_estacion_iii_cuaderno_pixel.png,,referencia_base,pendiente_mockup,Referencia base temporal; requiere mockup o captura específica posterior.
