archivo,categoria,origen,bloque,uso_atlas,estado,ancho,alto,hash_sha256,nota_pdf
gvo_atlas_006b_011_mundo_i_listo_actual.png,captura_actual,Playwright runtime,Estación I — Mundo Raíz,Mundo I listo/cierre actual,aprobado,780,1688,5bb059ac236e8bd35ebada797d017f34886bcce6205c1d1f4654f2a9261687a1,Usar para mostrar estado realmente implementado.
gvo_atlas_006b_012_mundo_i_bloqueo_actual.png,captura_actual,Playwright runtime,Estación I — Mundo Raíz,Mundo I bloqueo visual actual,aprobado,780,1688,8001210f4fd8a13362ff81ac1d5365213ed53bfc064fd45e7648c68510dca03e,Usar para mostrar estado realmente implementado.
gvo_atlas_006b_101_mundo_i_bloqueo_suave_mockup.png,mockup_aprobado,ChatGPT Images,Estación I — Mundo Raíz,Patrón visual de bloqueo suave,aprobado,941,1672,dab58d84d27074da3a7cea2316917d62caa7c6606ded3b8f07c5af8a6f24054c,Usar para mostrar intención visual esperada o patrón todavía no completamente reflejado en runtime.
gvo_atlas_006b_102_mundo_i_cierre_esperado_mockup.png,mockup_aprobado,ChatGPT Images,Estación I — Mundo Raíz,Patrón visual de cierre esperado de Mundo I,aprobado,941,1672,7d3ea85cf2cfd69c9105e27902c7b425bb4f18a6af5db31f109f39ee854755fb,Usar para mostrar intención visual esperada o patrón todavía no completamente reflejado en runtime.
gvo_atlas_006b_103_transicion_generica_entre_mundos_mockup.png,mockup_aprobado,ChatGPT Images,Transición entre mundos,Transición genérica reutilizable entre estaciones,aprobado,941,1672,73a0d211b8007b60b4bf7ed30581d27437fe9a244490e959421e83e288cf4a44,Usar para mostrar intención visual esperada o patrón todavía no completamente reflejado en runtime.
gvo_atlas_006b_104_mundo_ii_intro_conceptual_mockup.png,mockup_aprobado,ChatGPT Images,Estación II — Pulso invisible,Concepto visual de entrada a Mundo II,aprobado,941,1672,7004eca7d8aa1d9e91e820f2d51e5d1f96b895ec8eeb2b8eefe0c8edb70d2190,Usar para mostrar intención visual esperada o patrón todavía no completamente reflejado en runtime.
gvo_atlas_006b_105_mundo_ii_capa_senal_mockup.png,mockup_aprobado,ChatGPT Images,Estación II — Pulso invisible,Patrón visual de capa SEÑAL activa,aprobado,941,1672,8ea2e026ff6843791cbe6e4ec6d00a64a4d7aa8a6cd0c99b8cf8df646cfe6aee,Usar para mostrar intención visual esperada o patrón todavía no completamente reflejado en runtime.
gvo_atlas_006c_201_ref_carga_inicial.png,referencia_base,docs/narrative/visual_refs,Carga inicial,Referencia visual base de carga inicial,aprobado,941,1672,8ed96e520ccd02487ebf7b1ed830a521f1d5c305892c6588535132c38d33747f,Usar para estación o bloque cuando todavía no hay captura/mockup específico suficiente.
gvo_atlas_006c_202_ref_portada_archivo_vivo.png,referencia_base,docs/narrative/visual_refs,Portada,Referencia visual base de portada Archivo Vivo,aprobado,941,1672,58f1874005dd5181512b625fd565c4f2784dc2f344e228a7fbc64bc9b588c341,Usar para estación o bloque cuando todavía no hay captura/mockup específico suficiente.
gvo_atlas_006c_203_ref_transicion_entre_mundos.png,referencia_base,docs/narrative/visual_refs,Transición entre mundos,Referencia visual base de transición entre mundos,aprobado,941,1672,f755ae0efdc8ee6e89812d6358cf9916ef37e16da79799fc8c9d0d23ccc1795a,Usar para estación o bloque cuando todavía no hay captura/mockup específico suficiente.
gvo_atlas_006c_204_ref_estacion_i_mundo_raiz.png,referencia_base,docs/narrative/visual_refs,Estación I — Mundo Raíz,Referencia visual base de Mundo Raíz,aprobado,941,1672,ffda032f99a0e924c3fa27d6a5d84b55d55e43dc056264294941cbef9aee548a,Usar para estación o bloque cuando todavía no hay captura/mockup específico suficiente.
gvo_atlas_006c_205_ref_estacion_ii_pulso_invisible.png,referencia_base,docs/narrative/visual_refs,Estación II — Pulso invisible,Referencia visual base de Pulso invisible,aprobado,941,1672,32e34d86ce0460c8e75f26c93c606f2938df494347c19c11dc20ace7cf5159c1,Usar para estación o bloque cuando todavía no hay captura/mockup específico suficiente.
gvo_atlas_006c_206_ref_estacion_iii_cuaderno_pixel.png,referencia_base,docs/narrative/visual_refs,Estación III — Cuaderno Pixel,Referencia visual base de Cuaderno Pixel,aprobado,941,1672,f3144754a67e235ab828269970a9c89ff453846b834a102b924dba37f117fb19,Usar para estación o bloque cuando todavía no hay captura/mockup específico suficiente.
gvo_atlas_006c_207_ref_estacion_iv_mesa_sistema.png,referencia_base,docs/narrative/visual_refs,Estación IV — Mesa de Sistema,Referencia visual base de Mesa de Sistema,aprobado,941,1672,fa44789c056c663349c8adb1dd3b27cbd6b9255c03d5f1581de6c50ba89ab02c,Usar para estación o bloque cuando todavía no hay captura/mockup específico suficiente.
gvo_atlas_006c_208_ref_estacion_v_mapa_presente.png,referencia_base,docs/narrative/visual_refs,Estación V — Mapa del Presente,Referencia visual base de Mapa del Presente,aprobado,941,1672,1c96dbf2e65b7efa5198b7b87a21ae4191915c1ca2bc8e06ab744f84fe429b0b,Usar para estación o bloque cuando todavía no hay captura/mockup específico suficiente.
gvo_atlas_006c_209_ref_pantalla_final_mirador.png,referencia_base,docs/narrative/visual_refs,Pantalla final — Mirador,Referencia visual base de Mirador final,aprobado,941,1672,01a3cfc3b1b0398e688a7e609e1833a9663a3956d4f13ae88808da7b2fa8db93,Usar para estación o bloque cuando todavía no hay captura/mockup específico suficiente.
