reference_id,source_path,display_name,sha256,width,height,mode,alpha,current_consumer,provenance,license_status,approved_use,assets_served,reason,attachment_priority,do_not_copy
R04,public/assets/gvo/current-used/cover-intro/lia/rig/idle_v1/lia_rig_petal_left_lower_v1.png,Pétalo inferior izquierdo,1B5636A5092757326ECEB3FDE3E0567354C62542A42648372613D61E2C63DFA7,941,1672,RGBA,YES,COVER_INTRO,APPROVED_RUNTIME_RIG_LAYER,SPECIFIC_LICENSE_NOT_DOCUMENTED,IDENTITY_AUTHORITY,ALL,Capa canónica controlada,P0,No reconstruir anatomía ni reutilizar binario
R05,public/assets/gvo/current-used/cover-intro/lia/rig/idle_v1/lia_rig_petal_right_upper_v1.png,Pétalo superior derecho,57F90F78951FF06A220E4D9E55F2FC823358477620CF05A9F4CE8F57D252B1C4,941,1672,RGBA,YES,COVER_INTRO,APPROVED_RUNTIME_RIG_LAYER,SPECIFIC_LICENSE_NOT_DOCUMENTED,IDENTITY_AUTHORITY,ALL,Capa canónica controlada,P0,No reconstruir anatomía ni reutilizar binario
R06,public/assets/gvo/current-used/cover-intro/lia/rig/idle_v1/lia_rig_petal_right_lower_v1.png,Pétalo inferior derecho,C7EC877D82B3F86DA5B7A9306847361E3A6CC7B5B7B702B63B15C36FF373CEE5,941,1672,RGBA,YES,COVER_INTRO,APPROVED_RUNTIME_RIG_LAYER,SPECIFIC_LICENSE_NOT_DOCUMENTED,IDENTITY_AUTHORITY,ALL,Capa canónica controlada,P0,No reconstruir anatomía ni reutilizar binario
R07,public/assets/gvo/current-used/cover-intro/lia/rig/idle_v1/lia_rig_collar_amber_v1.png,Collar ámbar,50BED4928638FCBD8BA59EC04E769D4C7127986083E74FF6F48680E0D43B3592,941,1672,RGBA,YES,COVER_INTRO,APPROVED_RUNTIME_RIG_LAYER,SPECIFIC_LICENSE_NOT_DOCUMENTED,IDENTITY_AUTHORITY,ALL,Capa canónica controlada,P0,No reconstruir anatomía ni reutilizar binario
R08,public/assets/gvo/current-used/cover-intro/lia/rig/idle_v1/lia_rig_glow_collar_v1.png,Glow contenido de collar,ED7C109044B82D9B1E4A122062A67966438E27867322F65957BD53A9F0E851D5,941,1672,RGBA,YES,COVER_INTRO,APPROVED_RUNTIME_RIG_LAYER,SPECIFIC_LICENSE_NOT_DOCUMENTED,MATERIAL_REFERENCE,GLOW,Capa canónica controlada,P0,No reconstruir anatomía ni reutilizar binario
R09,public/assets/gvo/current-used/cover-intro/lia/rig/idle_v1/lia_rig_head_opal_clean_v1.png,Cabeza opalescente,D63712D641648228A0CBF26DFEC31330F2234F6DEBF2FC8FFB48BD0962401B49,941,1672,RGBA,YES,COVER_INTRO,APPROVED_RUNTIME_RIG_LAYER,SPECIFIC_LICENSE_NOT_DOCUMENTED,IDENTITY_AUTHORITY,ALL,Capa canónica controlada,P0,No reconstruir anatomía ni reutilizar binario
R10,public/assets/gvo/current-used/cover-intro/lia/rig/idle_v1/lia_rig_eyes_crescent_neutral_v1.png,Ojos media luna neutrales,894D535ECA8DAC0E5BCB1A2D4E6AE5FF8F8253E6ABB30105689358DD4331A9CA,941,1672,RGBA,YES,COVER_INTRO,APPROVED_RUNTIME_RIG_LAYER,SPECIFIC_LICENSE_NOT_DOCUMENTED,IDENTITY_AUTHORITY,ALL,Capa canónica controlada,P0,No reconstruir anatomía ni reutilizar binario
R11,public/assets/gvo/current-used/cover-intro/lia/rig/idle_v1/lia_rig_eyes_crescent_blink_50_v1.png,Ojos blink 50,4000665F86BADC98E063F2E0503708E5C331D44B4494B79EDC8CD076FB4DD92D,941,1672,RGBA,YES,COVER_INTRO,APPROVED_RUNTIME_RIG_LAYER,SPECIFIC_LICENSE_NOT_DOCUMENTED,IDENTITY_AUTHORITY,ALL,Capa canónica controlada,P0,No reconstruir anatomía ni reutilizar binario
R12,public/assets/gvo/current-used/cover-intro/lia/rig/idle_v1/lia_rig_eyes_crescent_closed_v1.png,Ojos cerrados,8571B835606C773764EE4D42A8840A8AE876D23EAF461D9B41F3812574909EE7,941,1672,RGBA,YES,COVER_INTRO,APPROVED_RUNTIME_RIG_LAYER,SPECIFIC_LICENSE_NOT_DOCUMENTED,IDENTITY_AUTHORITY,ALL,Capa canónica controlada,P0,No reconstruir anatomía ni reutilizar binario
R13,public/assets/gvo/current-used/cover-intro/lia/rig/idle_v1/lia_rig_shadow_soft_v1.png,Sombra suave,8A1DBD2F6FB96D38A89963CEBF861A6A41645ECA96AD9EFC0171E69EC402C896,941,1672,RGBA,YES,COVER_INTRO,APPROVED_RUNTIME_RIG_LAYER,SPECIFIC_LICENSE_NOT_DOCUMENTED,MATERIAL_REFERENCE,GLOW,Capa canónica controlada,P0,No reconstruir anatomía ni reutilizar binario
L01,public/assets/gvo/current-used/loading-initial/lia/lia_loading_16f.png,Loading 16f sprite,971E57A5A8C09124A6F55E686C9AC147430FEC03943B0C43C1BED1D823AB31CE,2560,2560,RGBA,YES,LOADING_INITIAL,APPROVED_RUNTIME_SPRITE,SPECIFIC_LICENSE_NOT_DOCUMENTED,TECHNICAL_SPRITE_REFERENCE,"IDLE,GREET",Coherencia multiframe y celdas,P1,No copiar acting de riego
L02,public/assets/gvo/current-used/loading-initial/lia/lia_loading_16f.json,Loading 16f metadata,879277D19F3D0688F70012D16FC78972A9F6E9543D5772CABB71CC447A9427DD,N/A,N/A,N/A,N/A,LOADING_INITIAL,RUNTIME_METADATA_READ_ONLY,NOT_APPLICABLE_DOCUMENTARY,TECHNICAL_SPRITE_REFERENCE,"IDLE,GREET",Contrato real de frames,P1,No copiar timings sin adaptar
T01,public/assets/gvo/current-used/transition-world/lia/lia_transition_root_master_v1.png,Transition master,289E54681BBD4D390290DDD04AB308C455D5174BC2D5C31C4DC05C7D3F9CE46B,256,256,RGBA,YES,TRANSITION_WORLD,APPROVED_RUNTIME_REFERENCE,SPECIFIC_LICENSE_NOT_DOCUMENTED,TECHNICAL_SPRITE_REFERENCE,ALL,Centro y escala técnica,P1,No reutilizar binario en Mirador
T02,public/assets/gvo/current-used/transition-world/lia/lia_transition_root_idle_4f_v1.png,Transition idle 4f,556C1169DE2B3F593B3C193C29D3A39DF8C234C337E4DBFDE79B099D9608EE9D,1024,256,RGBA,YES,TRANSITION_WORLD,APPROVED_RUNTIME_SPRITE,SPECIFIC_LICENSE_NOT_DOCUMENTED,TECHNICAL_SPRITE_REFERENCE,IDLE,Strip horizontal de 256 px,P0,No copiar frames como final
T03,public/assets/gvo/current-used/transition-world/lia/lia_transition_root_guide_2f_v1.png,Transition guide 2f,A2A7D6BE91D6DA7D5519185E90163980090A834F9B1C189DCA295664022EC454,512,256,RGBA,YES,TRANSITION_WORLD,APPROVED_RUNTIME_SPRITE,SPECIFIC_LICENSE_NOT_DOCUMENTED,TECHNICAL_SPRITE_REFERENCE,"GREET,DIRECTION",Coherencia entre poses,P1,No reutilizar binario en Mirador
T04,public/assets/gvo/current-used/transition-world/lia/lia_transition_root_exit_v1.png,Transition exit,090CA24AFF6DC46E3E4E85BAF5BADAE95DEBE4BB22541A636539A1853615BDDC,256,256,RGBA,YES,TRANSITION_WORLD,APPROVED_RUNTIME_POSE,SPECIFIC_LICENSE_NOT_DOCUMENTED,ACTING_REFERENCE,GREET,Retorno compatible,P2,No copiar desplazamiento de salida
W101,public/assets/gvo/current-used/world-1-root/lia/lia_root_idle_approved_v1.png,Mundo I idle,39A858C4691928EFFEA8D0168F5B806C9A179C57ECE44FA468B4B7CE3A47489A,1080,1920,RGBA,YES,WORLD_1_ROOT,APPROVED_RUNTIME_POSE,SPECIFIC_LICENSE_NOT_DOCUMENTED,ACTING_REFERENCE,"IDLE,RESET",Acting vegetal aprobado,P1,No copiar pose como asset Final
W102,public/assets/gvo/current-used/world-1-root/lia/lia_root_invite_relation_approved_v1.png,Mundo I invite,64E9755C82796EF991D596F9F6838A854761A58CDBC356E2B1583C597D333057,1080,1920,RGBA,YES,WORLD_1_ROOT,APPROVED_RUNTIME_POSE,SPECIFIC_LICENSE_NOT_DOCUMENTED,ACTING_REFERENCE,GREET,Acting vegetal aprobado,P1,No copiar pose como asset Final
W103,public/assets/gvo/current-used/world-1-root/lia/lia_root_point_relation_approved_v1.png,Mundo I point,828D747B71A2089649F2E516700CEAE4F95AAE4869EAFFE1968F36380C3EC0D8,1080,1920,RGBA,YES,WORLD_1_ROOT,APPROVED_RUNTIME_POSE,SPECIFIC_LICENSE_NOT_DOCUMENTED,ACTING_REFERENCE,DIRECTION,Acting vegetal aprobado,P1,No copiar pose como asset Final
W104,public/assets/gvo/current-used/world-1-root/lia/lia_root_look_perception_approved_v1.png,Mundo I look,91CB0D8E8C60BA90B2100AA4F69A8F6CF25E7821E5D5D0EBA8CDB8382A9EE4EC,1080,1920,RGBA,YES,WORLD_1_ROOT,APPROVED_RUNTIME_POSE,SPECIFIC_LICENSE_NOT_DOCUMENTED,ACTING_REFERENCE,DIRECTION,Acting vegetal aprobado,P1,No copiar pose como asset Final
W105,public/assets/gvo/current-used/world-1-root/lia/lia_root_guide_mediation_approved_v1.png,Mundo I guide,E4113C43DBCBB5A89E9771D18C12B19D6E8682E7B4EE0B0E6DEE1D7894BEBA12,1080,1920,RGBA,YES,WORLD_1_ROOT,APPROVED_RUNTIME_POSE,SPECIFIC_LICENSE_NOT_DOCUMENTED,ACTING_REFERENCE,"GREET,DIRECTION",Acting vegetal aprobado,P1,No copiar pose como asset Final
W106,public/assets/gvo/current-used/world-1-root/lia/lia_root_ready_continue_approved_v1.png,Mundo I ready,996DC33E6F62AF6EB3784371444FF5B681B042F121CC26B5713E25956E9C143B,1080,1920,RGBA,YES,WORLD_1_ROOT,APPROVED_RUNTIME_POSE,SPECIFIC_LICENSE_NOT_DOCUMENTED,ACTING_REFERENCE,GREET,Acting vegetal aprobado,P1,No copiar pose como asset Final
W301,public/assets/gvo/current-used/world-3-root/lia/lia_world3_idle_v01.png,Mundo III idle,0FC7473633449418A3479457B4A4F237C6F5F64E87F631674DBA94BF535EE37D,1024,1024,RGBA,YES,WORLD_3_ROOT,APPROVED_RUNTIME_PIXELART_POSE,SPECIFIC_LICENSE_NOT_DOCUMENTED,PIXELART_REFERENCE,"IDLE,RESET",Escala de píxel y acting aprobados,P1,No copiar cámara o paleta local
W302,public/assets/gvo/current-used/world-3-root/lia/lia_world3_pointing_v01.png,Mundo III pointing,51780FAF17A5AB2566D0264698F61115BE1D01745D73BEB52D4F6D10397952CA,1024,1024,RGBA,YES,WORLD_3_ROOT,APPROVED_RUNTIME_PIXELART_POSE,SPECIFIC_LICENSE_NOT_DOCUMENTED,PIXELART_REFERENCE,DIRECTION,Escala de píxel y acting aprobados,P1,No copiar cámara o paleta local
W303,public/assets/gvo/current-used/world-3-root/lia/lia_world3_observing_v01.png,Mundo III observing,196E1BD67D7EFB44675F2774E1EDF2524C9E9C18DC2968ED6D9A9689EEE9A5D2,1024,1024,RGBA,YES,WORLD_3_ROOT,APPROVED_RUNTIME_PIXELART_POSE,SPECIFIC_LICENSE_NOT_DOCUMENTED,PIXELART_REFERENCE,IDLE,Escala de píxel y acting aprobados,P1,No copiar cámara o paleta local
W304,public/assets/gvo/current-used/world-3-root/lia/lia_world3_confirming_v01.png,Mundo III confirming,A34D643E4CE517FCD6C09F1AB6C50F0930496FEF1A8D9F7A55A6AEA12AFC0881,1024,1024,RGBA,YES,WORLD_3_ROOT,APPROVED_RUNTIME_PIXELART_POSE,SPECIFIC_LICENSE_NOT_DOCUMENTED,PIXELART_REFERENCE,GREET,Escala de píxel y acting aprobados,P1,No copiar cámara o paleta local
W305,public/assets/gvo/current-used/world-3-root/lia/lia_world3_closure_v01.png,Mundo III closure,C82EF8E9334FA5BF5359FFC4303A7D60514B29AE6785D37FADC0613812DF2AFB,1024,1024,RGBA,YES,WORLD_3_ROOT,APPROVED_RUNTIME_PIXELART_POSE,SPECIFIC_LICENSE_NOT_DOCUMENTED,PIXELART_REFERENCE,GREET,Escala de píxel y acting aprobados,P1,No copiar cámara o paleta local
W501,public/assets/gvo/current-used/world-5-root/lia/lia_world5_attend_neutral_v01.webp,Mundo V attend,BFD5C5E3EB4DE9B9A908C6DAA7730EA9005AF912ABB58CE735C81DDCAA451316,1536,1536,RGBA,YES,WORLD_5_ROOT,APPROVED_RUNTIME_POSE,SPECIFIC_LICENSE_NOT_DOCUMENTED,ACTING_REFERENCE,IDLE,Jerarquía sobria y orientación,P1,No copiar composición Mundo V
W502,public/assets/gvo/current-used/world-5-root/lia/lia_world5_lead_forward_v01.webp,Mundo V lead,58696A77F16BDE395FB093771790377F3B44FC788FF9D1B661080E92806A009E,1536,1536,RGBA,YES,WORLD_5_ROOT,APPROVED_RUNTIME_POSE,SPECIFIC_LICENSE_NOT_DOCUMENTED,ACTING_REFERENCE,DIRECTION,Jerarquía sobria y orientación,P1,No copiar composición Mundo V
W503,public/assets/gvo/current-used/world-5-root/lia/lia_pose_greeting_v1.png,Mundo V greeting,7A25A54FBC96852D0C5E26B4DE1FD470AE708ECCDEF7EF7352D37806E89C0AD5,1086,1448,RGBA,YES,WORLD_5_ROOT,APPROVED_RUNTIME_POSE,SPECIFIC_LICENSE_NOT_DOCUMENTED,ACTING_REFERENCE,GREET,Jerarquía sobria y orientación,P1,No copiar composición Mundo V
W504,public/assets/gvo/current-used/world-5-root/lia/lia_pose_explain_calm_v1.png,Mundo V explain,17020FCDCE68624DB85FF173869D693D77A009E408859E323FC238D2F90B7064,1086,1448,RGBA,YES,WORLD_5_ROOT,APPROVED_RUNTIME_POSE,SPECIFIC_LICENSE_NOT_DOCUMENTED,ACTING_REFERENCE,"GREET,DIRECTION",Jerarquía sobria y orientación,P1,No copiar composición Mundo V
CS01,docs/visual/final/021b-preproduction/final_021b_lia_candidate_contact_sheet.png,021B Lía candidate contact sheet,4706D8E157CBA2749E0BA8DFE5C1EA1DCF299F182ACAD2E69830F9667F847F59,1600,3416,RGB,NO,FINAL_PREPRODUCTION,PREPRODUCTION_DOCUMENTATION,NOT_APPLICABLE_DOCUMENTARY,COMPOSITION_ALIGNMENT_REFERENCE,ALL,Comparación documentada de familias existentes,P1,No interpretar como aprobación de asset Final
PI01,C:\Users\JOSE DAVID\Downloads\I1\final_environment_portrait_v01.webp,final_environment_portrait_v01.webp,1E8B599BE197EE26E346B1B1974CAA571DE42AF4B8587758C801C914C04C1347,1440,2560,RGBA,YES,FINAL_MIRADOR_PREPRODUCTION,AUDITED_APPROVED_PRODUCTION_REFERENCE_NOT_RUNTIME,NOT_DOCUMENTED,APPROVED_PRODUCTION_REFERENCE,ALL,"Cámara, paleta, escala y encaje; familia ENVIRONMENT",P0,No promover a runtime ni reutilizar como asset de Lía
PI02,C:\Users\JOSE DAVID\Downloads\I2\final_environment_landscape_v01.webp,final_environment_landscape_v01.webp,EDB75703A398724B9084D800CF21B888D72B6028C4199DC1D7A2C5F5CC0D1D84,2560,1440,RGB,NO,FINAL_MIRADOR_PREPRODUCTION,AUDITED_APPROVED_PRODUCTION_REFERENCE_NOT_RUNTIME,NOT_DOCUMENTED,APPROVED_PRODUCTION_REFERENCE,ALL,"Cámara, paleta, escala y encaje; familia ENVIRONMENT",P0,No promover a runtime ni reutilizar como asset de Lía
PI03,C:\Users\JOSE DAVID\Downloads\I3\final_valley_depth_portrait_v01.webp,final_valley_depth_portrait_v01.webp,F64326254C5215CB44E0F9D93134B425E8806EA41E27556A4BBC40EA36D71E99,1440,2560,RGBA,YES,FINAL_MIRADOR_PREPRODUCTION,AUDITED_APPROVED_PRODUCTION_REFERENCE_NOT_RUNTIME,NOT_DOCUMENTED,APPROVED_PRODUCTION_REFERENCE,ALL,"Cámara, paleta, escala y encaje; familia ENVIRONMENT",P0,No promover a runtime ni reutilizar como asset de Lía
PI04,C:\Users\JOSE DAVID\Downloads\I4\final_valley_depth_landscape_v01.webp,final_valley_depth_landscape_v01.webp,FA9999A33EA636F57FA901D8C06B4FF9694A27F66704DAE7968B9E2DC45EC42B,2560,1440,RGBA,YES,FINAL_MIRADOR_PREPRODUCTION,AUDITED_APPROVED_PRODUCTION_REFERENCE_NOT_RUNTIME,NOT_DOCUMENTED,APPROVED_PRODUCTION_REFERENCE,ALL,"Cámara, paleta, escala y encaje; familia ENVIRONMENT",P0,No promover a runtime ni reutilizar como asset de Lía
PI05,C:\Users\JOSE DAVID\Downloads\I5\final_mirador_foreground_portrait_v01.webp,final_mirador_foreground_portrait_v01.webp,19290CF1995A8FAB2B643BEBC88126D3BA6E67A516A43877E1AA79A16E11427D,1440,1280,RGBA,YES,FINAL_MIRADOR_PREPRODUCTION,AUDITED_APPROVED_PRODUCTION_REFERENCE_NOT_RUNTIME,NOT_DOCUMENTED,APPROVED_PRODUCTION_REFERENCE,ALL,"Cámara, paleta, escala y encaje; familia ENVIRONMENT",P0,No promover a runtime ni reutilizar como asset de Lía
PI06,C:\Users\JOSE DAVID\Downloads\I6\final_mirador_foreground_landscape_v01.webp,final_mirador_foreground_landscape_v01.webp,455EDBA68398FBB8BC1A508C42D0EB1BC7D2B6AFC236BF5F8928C2356FD60544,2560,900,RGBA,YES,FINAL_MIRADOR_PREPRODUCTION,AUDITED_APPROVED_PRODUCTION_REFERENCE_NOT_RUNTIME,NOT_DOCUMENTED,APPROVED_PRODUCTION_REFERENCE,ALL,"Cámara, paleta, escala y encaje; familia ENVIRONMENT",P0,No promover a runtime ni reutilizar como asset de Lía
PI07,C:\Users\JOSE DAVID\Downloads\I7\final_access_world1_root_v01.webp,final_access_world1_root_v01.webp,F1BE36246795D8A89241AA708D8E8ECE29FA5C98F3F0DCCAF5C2BD5F8F1BF046,1024,1024,RGBA,YES,FINAL_MIRADOR_PREPRODUCTION,AUDITED_APPROVED_PRODUCTION_REFERENCE_NOT_RUNTIME,NOT_DOCUMENTED,APPROVED_PRODUCTION_REFERENCE,ALL,"Cámara, paleta, escala y encaje; familia ACCESS",P1,No promover a runtime ni reutilizar como asset de Lía
PI08,C:\Users\JOSE DAVID\Downloads\I8\final_access_world2_pulse_v01.webp,final_access_world2_pulse_v01.webp,6EE6B093DEE9ABBEA96FDA66C6C80DB3601CDF588A34FD062D0F844466EDD7B6,1024,1024,RGBA,YES,FINAL_MIRADOR_PREPRODUCTION,AUDITED_APPROVED_PRODUCTION_REFERENCE_NOT_RUNTIME,NOT_DOCUMENTED,APPROVED_PRODUCTION_REFERENCE,ALL,"Cámara, paleta, escala y encaje; familia ACCESS",P1,No promover a runtime ni reutilizar como asset de Lía
PI09,C:\Users\JOSE DAVID\Downloads\I9\final_access_world3_notebook_v01.webp,final_access_world3_notebook_v01.webp,2EFAB6C3CA5430D7BA1F0113AA4E19A4B99CE6D4AF5C3212371AC86314039CD3,1024,1024,RGBA,YES,FINAL_MIRADOR_PREPRODUCTION,AUDITED_APPROVED_PRODUCTION_REFERENCE_NOT_RUNTIME,NOT_DOCUMENTED,APPROVED_PRODUCTION_REFERENCE,ALL,"Cámara, paleta, escala y encaje; familia ACCESS",P1,No promover a runtime ni reutilizar como asset de Lía
PI10,C:\Users\JOSE DAVID\Downloads\I10\final_access_world4_system_v01.webp,final_access_world4_system_v01.webp,5472BDCA276DBD851D0C3C7C48A96038A5D7544AA13EF4A51BE7BC4DCC2E2B9D,1024,1024,RGBA,YES,FINAL_MIRADOR_PREPRODUCTION,AUDITED_APPROVED_PRODUCTION_REFERENCE_NOT_RUNTIME,NOT_DOCUMENTED,APPROVED_PRODUCTION_REFERENCE,ALL,"Cámara, paleta, escala y encaje; familia ACCESS",P1,No promover a runtime ni reutilizar como asset de Lía
PI11,C:\Users\JOSE DAVID\Downloads\I11\final_access_world5_map_v01.webp,final_access_world5_map_v01.webp,A034AA6940E2043870FF3EE0B6C833DF4F3C3F15CFD386C846DB78AA1CBFC07F,1024,1024,RGBA,YES,FINAL_MIRADOR_PREPRODUCTION,AUDITED_APPROVED_PRODUCTION_REFERENCE_NOT_RUNTIME,NOT_DOCUMENTED,APPROVED_PRODUCTION_REFERENCE,ALL,"Cámara, paleta, escala y encaje; familia ACCESS",P1,No promover a runtime ni reutilizar como asset de Lía
PI12,C:\Users\JOSE DAVID\Downloads\I12\final_access_label_backplate_v01.png,final_access_label_backplate_v01.png,36257FEC3E1E69D58A9F5E7CA2543F983D309776E45F757D1A81A7CAECFA3698,1024,256,RGBA,YES,FINAL_MIRADOR_PREPRODUCTION,AUDITED_APPROVED_PRODUCTION_REFERENCE_NOT_RUNTIME,NOT_DOCUMENTED,APPROVED_PRODUCTION_REFERENCE,ALL,"Cámara, paleta, escala y encaje; familia ACCESS",P1,No promover a runtime ni reutilizar como asset de Lía
PI13,C:\Users\JOSE DAVID\Downloads\I13\final_title_backplate_v01.png,final_title_backplate_v01.png,898949FFAA35E66507A3AA799BFE32AEC36FA4D3B73B54E58FC1E1A2715C360D,1536,512,RGBA,YES,FINAL_MIRADOR_PREPRODUCTION,AUDITED_APPROVED_PRODUCTION_REFERENCE_NOT_RUNTIME,NOT_DOCUMENTED,APPROVED_PRODUCTION_REFERENCE,ALL,"Cámara, paleta, escala y encaje; familia UI",P1,No promover a runtime ni reutilizar como asset de Lía
PI14,C:\Users\JOSE DAVID\Downloads\I14\final_credits_backplate_v01.png,final_credits_backplate_v01.png,45C6FD147A04FF9F8FF5A249EDBC2FCE16EA07FE843A9082B2E011ABC75FFFB1,1536,384,RGBA,YES,FINAL_MIRADOR_PREPRODUCTION,AUDITED_APPROVED_PRODUCTION_REFERENCE_NOT_RUNTIME,NOT_DOCUMENTED,APPROVED_PRODUCTION_REFERENCE,ALL,"Cámara, paleta, escala y encaje; familia UI",P1,No promover a runtime ni reutilizar como asset de Lía
PI15,C:\Users\JOSE DAVID\Downloads\I15\final_action_backplate_v01.png,final_action_backplate_v01.png,C771BA00ACD157962EA1C1BD54FC54758BB6D7306F99C9C0616B5BDCEF211B81,1024,256,RGBA,YES,FINAL_MIRADOR_PREPRODUCTION,AUDITED_APPROVED_PRODUCTION_REFERENCE_NOT_RUNTIME,NOT_DOCUMENTED,APPROVED_PRODUCTION_REFERENCE,ALL,"Cámara, paleta, escala y encaje; familia UI",P1,No promover a runtime ni reutilizar como asset de Lía
PI16,C:\Users\JOSE DAVID\Downloads\I16\final_restart_dialog_backplate_v01.png,final_restart_dialog_backplate_v01.png,2E81A8CE8C4DFB17E519BC3AE8513367D0C45418A312DC863C9238186FDAB32C,1536,1024,RGBA,YES,FINAL_MIRADOR_PREPRODUCTION,AUDITED_APPROVED_PRODUCTION_REFERENCE_NOT_RUNTIME,NOT_DOCUMENTED,APPROVED_PRODUCTION_REFERENCE,ALL,"Cámara, paleta, escala y encaje; familia UI",P1,No promover a runtime ni reutilizar como asset de Lía
N01,C:\Users\JOSE DAVID\Downloads\I12\final_access_label_backplate_v01.webp,final_access_label_backplate_v01.webp,AF248DF788A8C39528A71B3872EA0F74456406C16BD117CE5F91CC40A4E06557,1024,256,RGBA,YES,NONE,DERIVED_HOMONYM_NONCANONICAL,NOT_DOCUMENTED,NOT_ALLOWED,NONE,Derivado WebP no canónico del PNG I12,DO_NOT_ATTACH,"No copiar, no adjuntar, no promover; usar el PNG canónico"
