ID estable,Filename exacto propuesto,Categoría A–G,Función narrativa,Función visual,Consumidor previsto,Estado o pantalla,Canvas,Formato,Opaco/transparente,Orientación,Capa/z-order,Referencias,Reutilización,Movimiento,Criterio asset/código,Dependencias,Riesgo,Prioridad,Criterios de aceptación
FINAL-SHADOW-001,PENDIENTE_DE_DECISIÓN,"F — CONDICIONAL, REQUIERE PRUEBA",Ancla Lía y mirador,Sombra de contacto,FinalForegroundLayer,/final,PENDIENTE_DE_DECISIÓN,PNG/SVG,Transparente,Ambas,z69,Sombra W4 solo como método,Nuevo o código tras prueba,NO NECESARIO,Código si elipse simple; asset si pictórica,Alpha bbox de Lía y mirador,Desalineación,P1,Centro visible alpha-aware; no sombra generativa innecesaria
FINAL-ATM-VIGNETTE-001,finalAtmosphere.css,D — CÓDIGO DETERMINISTA,Concentra la mirada,Viñeta periférica suave,FinalAtmosphereLayer,/final,Viewport contractual,CSS,NO_APLICA_CÓDIGO,Ambas,z65,Referencia Mirador,No reutiliza binario,CSS/SVG/JS determinista,Código por geometría simple,Safe areas,Oscurecer controles,P2,Opacidad <=0.18 y desactivable en contraste QA
FINAL-ACCESS-I-001,final_access_world1_root_v01.webp,C — NUEVO ASSET OBLIGATORIO,Memoria de Raíz,Mini escena de brote y raíz,FinalAccessCard[I],/final / acceso I,1024×1024,WEBP,Transparente,Ambas,z30,Assets W1 solo como referencia,Generar nuevo; no duplicar W1,ASSET ESTÁTICO ANIMADO POR TRANSFORM,Asset por identidad pictórica,Cámara y Art Bible,Copiar estética literal de W1,P0,Raíz reconocible a 88 px; sin texto; <=180 KiB
FINAL-ACCESS-II-001,final_access_world2_pulse_v01.webp,C — NUEVO ASSET OBLIGATORIO,Memoria de Pulso invisible,Planta y señal violeta,FinalAccessCard[II],/final / acceso II,1024×1024,WEBP,Transparente,Ambas,z30,Assets W2 solo como referencia,Generar nuevo,ASSET ESTÁTICO ANIMADO POR TRANSFORM,Asset por identidad pictórica,Cámara y Art Bible,Señal ilegible,P0,Planta+pulso reconocibles; sin texto; <=180 KiB
FINAL-ACCESS-III-001,final_access_world3_notebook_v01.webp,C — NUEVO ASSET OBLIGATORIO,Memoria de Cuaderno de pruebas,Cuaderno abierto,FinalAccessCard[III],/final / acceso III,1024×1024,WEBP,Transparente,Ambas,z30,Assets W3 solo como referencia,Generar nuevo,ASSET ESTÁTICO ANIMADO POR TRANSFORM,Asset por materialidad,Cámara y Art Bible,Texto horneado,P0,Silueta de cuaderno; páginas sin texto operativo; <=180 KiB
FINAL-ACCESS-IV-001,final_access_world4_system_v01.webp,C — NUEVO ASSET OBLIGATORIO,Memoria de Mesa de sistema,Mesa y red de nodos,FinalAccessCard[IV],/final / acceso IV,1024×1024,WEBP,Transparente,Ambas,z30,Assets W4 solo como referencia,Generar nuevo,ASSET ESTÁTICO ANIMADO POR TRANSFORM,Asset por materialidad,Cámara y Art Bible,Miniatura confusa,P0,Mesa+red legibles sin copy; <=180 KiB
FINAL-ACCESS-V-001,final_access_world5_map_v01.webp,C — NUEVO ASSET OBLIGATORIO,Memoria de Mapa del presente,Mapa y ping,FinalAccessCard[V],/final / acceso V,1024×1024,WEBP,Transparente,Ambas,z30,Assets W5 solo como referencia,Generar nuevo,ASSET ESTÁTICO ANIMADO POR TRANSFORM,Asset por identidad pictórica,Cámara y Art Bible,Duplicar mapa runtime,P0,Mapa reconocible; no copiar binario completo; <=180 KiB
FINAL-PLATE-LABEL-001,final_access_label_backplate_v01.png,C — NUEVO ASSET OBLIGATORIO,Nombra cada memoria,Backplate 9-slice de rótulo,FinalAccessLabel,/final,1024×256,PNG,Transparente,Ambas,z42,Placas de referencia; método 9-slice W4,Nuevo,NO NECESARIO,Asset para materialidad; texto DOM,Tokens de 9-slice,Texto horneado,P0,Centro extensible; bordes 1×; sin texto; <=90 KiB
FINAL-PLATE-TITLE-001,final_title_backplate_v01.png,C — NUEVO ASSET OBLIGATORIO,Declara cierre,Pergamino superior,FinalHeader,/final,1536×512,PNG,Transparente,Ambas,z80,Cartel de referencia,Nuevo,NO NECESARIO,Asset para materialidad; h1/subtítulo DOM,Cámara y copy,Ocupa demasiado cielo,P0,9-slice o variantes validadas; sin texto; <=180 KiB
FINAL-PLATE-CREDITS-001,final_credits_backplate_v01.png,C — NUEVO ASSET OBLIGATORIO,Reconoce autoría,Franja inferior integrada,FinalCredits,/final,1536×384,PNG,Transparente,Ambas,z82,Franja de referencia,Nuevo,NO NECESARIO,Asset para materialidad; créditos DOM,Copy exacto,Reducir alto útil,P1,Dos líneas legibles sin scroll; sin texto horneado; <=140 KiB
FINAL-PLATE-ACTION-001,final_action_backplate_v01.png,C — NUEVO ASSET OBLIGATORIO,Sostiene dos decisiones,Marco 9-slice para botones,FinalActions,/final,1024×256,PNG,Transparente,Ambas,z82,Botones de referencia,Nuevo,NO NECESARIO,Asset backplate + button DOM,Estados de foco,Diferencia basada solo en color,P1,Target 44×44; foco no recortado; texto DOM
FINAL-PLATE-DIALOG-001,PENDIENTE_DE_DECISIÓN,"F — CONDICIONAL, REQUIERE PRUEBA",Pide confirmación consciente,Marco de diálogo,FinalRestartDialog,/final / final_restart_prompt,PENDIENTE_DE_DECISIÓN,PNG/CSS,Transparente,Ambas,z110,Mockup reinicio y backplates existentes,Prueba nuevo asset vs CSS,NO NECESARIO,Asset solo si materialidad lo exige,Contrato modal,Peso o 9-slice defectuoso,P1,Diálogo usable 375×667 y 667×375; sin texto
FINAL-ACCESS-LAYOUT-001,finalGeometry.ts,D — CÓDIGO DETERMINISTA,Presenta cinco mundos como conjunto,Anchors 2–1–2 y arco 16:9,FinalStage,/final,Artboards 9:16 y 16:9,TypeScript,NO_APLICA_CÓDIGO,Ambas,z30,Wireframes 021B,No aplica,CSS/SVG/JS determinista,Código para geometría exacta,Dos cámaras aprobadas,Offsets aislados,P0,Anchors normalizados; seis viewports sin solape ni scroll
FINAL-HIT-TARGETS-001,FinalAccessControl.tsx,D — CÓDIGO DETERMINISTA,Permite revisión libre,Superficies táctiles invisibles,FinalAccessControl,/final,Viewport contractual,React/HTML,Transparente,Ambas,z50,WCAG y contrato 021B,No aplica,NO NECESARIO,Código semántico,Assets de accesos,Target menor a 44,P0,Cada acceso >=44×44 y botón nativo
FINAL-SELECTED-001,FinalAccessControl.css,D — CÓDIGO DETERMINISTA,Confirma mundo elegido,"Borde, escala mínima y atenuación",FinalAccessControl,/final / final_station_selected,Viewport contractual,CSS,NO_APLICA_CÓDIGO,Ambas,z55,Especificación V1,No aplica,CSS/SVG/JS determinista,Código por estado/foco,Máquina de estados,Depender del color,P0,aria-pressed; borde y forma; no oculta otros accesos
FINAL-ACCESS-GROUP-001,FinalAccessGroup.tsx,D — CÓDIGO DETERMINISTA,Agrupa revisión libre,Orden DOM I–V independiente del visual,FinalAccessGroup,/final,Viewport contractual,React/HTML,NO_APLICA_CÓDIGO,Ambas,z50,Contrato accesible 021B,No aplica,NO NECESARIO,Código semántico,FinalAccessControl,Orden visual altera lectura,P0,DOM I→V; visual por grid/anchors; anuncio seleccionado
FINAL-MOTION-FLOAT-001,finalMotion.ts,D — CÓDIGO DETERMINISTA,Mantiene escena viva con calma,Flotación lenta desfasada,FinalAccessMotion,/final / idle,Viewport contractual,WAAPI/CSS,NO_APLICA_CÓDIGO,Ambas,z30,Especificación V1,No aplica,CSS/SVG/JS determinista,Transform medible,Anchors finales,Movimiento simultáneo,P2,Amplitud 2–5 px; fases distintas; apagado en reduced
FINAL-MOTION-PARALLAX-001,finalParallax.ts,D — CÓDIGO DETERMINISTA,Refuerza profundidad,Parallax de tres planos,FinalStage,/final / idle,Viewport contractual,TypeScript/CSS,NO_APLICA_CÓDIGO,Ambas,z0–70,Profundidad Art Bible,No aplica,CSS/SVG/JS determinista,Código por desplazamiento medible,Planos aprobados,Mareo o seams,P2,Máximo 1.5%; sin pointer obligatorio; off en reduced
FINAL-FX-I-001,final_access_i_root_spark_sheet_v01.png,E — ASSET DE MOVIMIENTO / SPRITE / FRAMES,Recuerda el origen,Destello breve de raíz,FinalAccessFx[I],/final / acceso I,512×128 / 4×1,PNG,Transparente,Ambas,z36,W1 como referencia,Nuevo,SPRITE SHEET,Sprite por deformación pictórica,FINAL-ACCESS-I-001,Loop ruidoso,P2,4 frames; trigger espaciado/selección; <=45 KiB
FINAL-FX-II-001,final_access_ii_signal_pulse_sheet_v01.png,E — ASSET DE MOVIMIENTO / SPRITE / FRAMES,Recuerda la señal,Pulso violeta,FinalAccessFx[II],/final / acceso II,512×128 / 4×1,PNG,Transparente,Ambas,z36,W2 como referencia,Nuevo,SPRITE SHEET,Sprite si la onda es pictórica,FINAL-ACCESS-II-001,Flash excesivo,P2,Sin >3 destellos/s; reduced congelado; <=45 KiB
FINAL-FX-III-001,final_access_iii_notebook_blink_sheet_v01.png,E — ASSET DE MOVIMIENTO / SPRITE / FRAMES,Recuerda el registro,Cambio sutil de página,FinalAccessFx[III],/final / acceso III,384×128 / 3×1,PNG,Transparente,Ambas,z36,W3 como referencia,Nuevo,SPRITE SHEET,Sprite por cambio ilustrado,FINAL-ACCESS-III-001,Parecer interacción obligatoria,P2,3 frames; sin texto; no loop continuo; <=40 KiB
FINAL-FX-IV-001,FinalAccessSystemFx.tsx,D — CÓDIGO DETERMINISTA,Recuerda el sistema,Nodo y tramo activo,FinalAccessFx[IV],/final / acceso IV,Local al acceso,SVG/CSS,Transparente,Ambas,z36,Ruta W4 como método,No reutiliza binario,CSS/SVG/JS determinista,Código por geometría exacta,FINAL-ACCESS-IV-001,Densidad técnica,P2,Un nodo/tramo; pausa amplia; estado también por forma
FINAL-FX-V-001,FinalAccessMapFx.tsx,D — CÓDIGO DETERMINISTA,Recuerda el presente,Ping de mapa,FinalAccessFx[V],/final / acceso V,Local al acceso,SVG/CSS,Transparente,Ambas,z36,W5 como referencia,No reutiliza binario,CSS/SVG/JS determinista,Código por anillos exactos,FINAL-ACCESS-V-001,Loop distractor,P2,Un ping espaciado; off en reduced; sin color exclusivo
FINAL-FX-MOTES-001,PENDIENTE_DE_DECISIÓN,"F — CONDICIONAL, REQUIERE PRUEBA",Aporta atmósfera,Motas escasas,FinalAtmosphereLayer,/final / idle,PENDIENTE_DE_DECISIÓN,PNG/CSS,Transparente,Ambas,z20,Referencia Mirador,Nuevo solo si mejora materialidad,ESTADOS RASTER SEPARADOS,Asset solo para forma orgánica,Presupuesto visual,Ruido permanente,P3,Máximo 8 visibles; sin interacción; eliminar si no suma
FINAL-FX-LAMP-001,final_lamp_flame_sheet_v01.png,E — ASSET DE MOVIMIENTO / SPRITE / FRAMES,Refuerza calidez,Llama mínima,FinalForegroundLayer,/final / idle,256×64 / 4×1,PNG,Transparente,Ambas,z75,Lámpara de referencia,Nuevo,SPRITE SHEET,Sprite por deformación orgánica,Mirador aprobado,Flicker,P3,4 frames lentos; una lámpara; estática en reduced; <=25 KiB
FINAL-FX-VEG-001,final_vegetation_sway_states_v01.png,E — ASSET DE MOVIMIENTO / SPRITE / FRAMES,Mantiene jardín vivo,Dos estados de follaje,FinalForegroundLayer,/final / idle,512×256 / 2×1,PNG,Transparente,Ambas,z66,Vegetación de referencia,Nuevo,ESTADOS RASTER SEPARADOS,Asset por deformación orgánica,Oclusores aprobados,Ruido o costura,P3,Sólo un grupo; ciclo >=6 s; congelado en reduced
FINAL-MOTION-SELECT-001,FinalLocalTransition.tsx,D — CÓDIGO DETERMINISTA,Da feedback antes de revisar,Máscara y enfoque local,FinalLocalTransition,/final / final_revisit_transition,Viewport contractual,React/CSS/SVG,NO_APLICA_CÓDIGO,Ambas,z100,Especificación V1; no TransitionWorld,No reutiliza transición pasiva,CSS/SVG/JS determinista,Código por evento y foco,Review context,Bloquear demasiado,P1,Feedback visible/aria; 220–420 ms; versión reduced 100–160 ms
FINAL-LIA-REF-001,lia_master_cover_reference_v1.png,"B — REUTILIZAR COMO REFERENCIA, GENERAR NUEVO",Autoridad de identidad,Cinco pétalos y materiales canónicos,Equipo de arte / QA,Preproducción,941×1672,PNG,Transparente,Portrait,Referencia,docs/03_IDENTIDAD_LIA.md,Referencia solamente,NO NECESARIO,No es runtime Final,Procedencia Cover versionada,Copiar pose/escala sin adaptación,P0,Usar para hard fails; nunca promover como arte Final automáticamente
FINAL-LIA-COVER-IDLE-001,lia_pose_idle_v1.png,"F — CONDICIONAL, REQUIERE PRUEBA",Candidata a reposo,Pose 2.5D existente,FinalLiaActor,/final / candidato,941×1672,PNG,Transparente,Portrait,z74,Cover y biblioteca Lía,Nuevo consumidor requiere aprobación,ESTADOS RASTER SEPARADOS,Asset existente si compatibilidad artística pasa,Prueba pixelart y cámara,Mezcla de estilo,P1,Prueba a escalas portrait/landscape y aprobación humana
FINAL-LIA-COVER-GREET-001,lia_pose_greeting_v1.png,"F — CONDICIONAL, REQUIERE PRUEBA",Candidata a saludo,Pose 2.5D existente,FinalLiaActor,/final / candidato,1086×1448,PNG,Transparente,Ambas,z74,Cover/W4/W5,Nuevo consumidor requiere aprobación,ESTADOS RASTER SEPARADOS,Asset existente si pasa prueba,Prueba pixelart,Mezcla de estilo,P1,Cinco pétalos; no flip; encaje humano aprobado
FINAL-LIA-W5-ATTEND-001,lia_world5_attend_neutral_v01.webp,"F — CONDICIONAL, REQUIERE PRUEBA",Candidata contemplativa,Pose neutral aprobada en W5,FinalLiaActor,/final / candidato,1536×1536,WEBP,Transparente,Ambas,z74,W5 manifest,Nuevo consumidor requiere aprobación,ESTADOS RASTER SEPARADOS,Asset existente si pasa composición,Prueba alpha-aware,Dirección W5 no Final,P1,No deformar; compatibilidad técnica y artística separadas
FINAL-LIA-W3-POINT-001,lia_world3_pointing_v01.png,"B — REUTILIZAR COMO REFERENCIA, GENERAR NUEVO",Referencia de orientación,Vocabulario gestual pixelart,Equipo de arte,Preproducción,1024×1024,PNG,Transparente,Ambas,Referencia,W3 aprobado,Referencia solamente,NO NECESARIO,No mezclar pixelart W3 automáticamente,Mapa de Lía,Confundir aprobación de W3 con Final,P1,"Extraer acting, no copiar estilo/binario sin autorización"
FINAL-LIA-IDLE-001,final_lia_idle_contemplative_6f_v01.webp,E — ASSET DE MOVIMIENTO / SPRITE / FRAMES,Presencia contemplativa,Idle sobrio de Lía pixelart/híbrida,FinalLiaActor,/final / idle,1536×256 / 6×1,WEBP,Transparente,Ambas,z74,Identidad canónica + cámara Final,Nuevo,SPRITE SHEET,Sprite por acting ilustrado,Benchmark de pose y hard fails,Identidad o pixel crawling,P0,Exactamente cinco pétalos; 6 frames; cero anatomía humana; <=220 KiB
FINAL-LIA-GREET-001,final_lia_greeting_4f_v01.webp,E — ASSET DE MOVIMIENTO / SPRITE / FRAMES,Saludo breve de cierre,Gesto ceremonial corto,FinalLiaActor,/final / intro,1024×256 / 4×1,WEBP,Transparente,Ambas,z74,Identidad canónica,Nuevo,SPRITE SHEET,Sprite por acting ilustrado,FINAL-LIA-IDLE-001,Rebote exagerado,P0,No loop; <=700 ms; cinco pétalos; vuelve a idle
FINAL-LIA-DIRECTION-001,PENDIENTE_DE_DECISIÓN,"F — CONDICIONAL, REQUIERE PRUEBA",Orienta al acceso elegido,Estados direccionales I–V,FinalLiaActor,/final / selected,PENDIENTE_DE_DECISIÓN,WEBP/PNG,Transparente,Ambas,z74,Wireframes 021B,Nuevo solo si transform no basta,ESTADOS RASTER SEPARADOS,Asset si la silueta cambia,Prueba de composición,Cinco poses innecesarias,P2,Probar primero rotación mínima; no flip sin aprobación
FINAL-LIA-GLOW-001,final_lia_glow_shadow_v01.png,C — NUEVO ASSET OBLIGATORIO,Integra a Lía en el mirador,Glow y sombra alpha-aware,FinalLiaActor,/final,1024×512,PNG,Transparente,Ambas,z72,Collar/glow canónico,Nuevo,ASSET ESTÁTICO ANIMADO POR TRANSFORM,Asset por textura de luz,Alpha bbox Lía,Halo excesivo,P1,No oculta foco; alpha real; <=80 KiB
FINAL-LIA-RESET-001,PENDIENTE_DE_DECISIÓN,"F — CONDICIONAL, REQUIERE PRUEBA",Acompaña decisión crítica,Pose de confirmación,FinalRestartDialog,/final / restart prompt,PENDIENTE_DE_DECISIÓN,WEBP/PNG,Transparente,Ambas,z115,Mockup reinicio,Preferir idle/greeting si basta,ESTADOS RASTER SEPARADOS,Nuevo asset solo con valor probado,Composición del diálogo,Duplicar set sin beneficio,P3,"Prueba humana demuestra mejor comprensión; si no, NO NECESARIO"
FINAL-LIA-CONTROLLER-001,FinalLiaActor.tsx,D — CÓDIGO DETERMINISTA,Gobierna presencia de Lía,Selecciona idle/saludo/orientación,FinalLiaActor,/final,Viewport contractual,React/TypeScript,NO_APLICA_CÓDIGO,Ambas,z74,Máquina de estados 021B,No aplica,CSS/SVG/JS determinista,Código para estado y tiempos,Assets Lía aprobados,Estado visual sin semántica,P0,Un actor; fallback estático; reduced equivalente
FINAL-LIA-ANCHOR-001,finalLiaGeometry.ts,D — CÓDIGO DETERMINISTA,Mantiene a Lía presente sin bloquear,Anchor por alpha bbox,FinalLiaActor,/final,9:16 y 16:9,TypeScript,NO_APLICA_CÓDIGO,Ambas,z74,Método W4 alpha-aware,No aplica,NO NECESARIO,Código por geometría,Assets Lía aprobados,Centro de canvas incorrecto,P0,"Centro/baseline visible; no tapa accesos, acciones ni créditos"
FINAL-MEM-W1-001,world1_root_roots_base_approved_v1.png,"B — REUTILIZAR COMO REFERENCIA, GENERAR NUEVO",Autoridad visual Mundo I,Referencia de raíz,Equipo de arte Final,Preproducción,941×1672,PNG,Transparente,Portrait,Referencia,W1 runtime/current-used,Referencia; no duplicar,NO NECESARIO,Nuevo mini asset para cámara Final,Consumer W1 preservado,Mezclar cámaras,P1,Hash registrado; consumidor W1 intacto; nuevo arte separado
FINAL-MEM-W2-001,world2_raw_bioelectric_waveform_v01.png,"B — REUTILIZAR COMO REFERENCIA, GENERAR NUEVO",Autoridad visual Mundo II,Referencia de señal,Equipo de arte Final,Preproducción,1536×1024,PNG,Transparente,Landscape,Referencia,W2 runtime/current-used,Referencia; no duplicar,NO NECESARIO,Nuevo mini asset,Consumer W2 preservado,Detalle ilegible a miniatura,P1,"Usar lenguaje visual, no binario completo"
FINAL-MEM-W3-001,world3_notebook_open_base_v01.png,"B — REUTILIZAR COMO REFERENCIA, GENERAR NUEVO",Autoridad visual Mundo III,Referencia de cuaderno,Equipo de arte Final,Preproducción,1536×1024,PNG,Transparente,Landscape,Referencia,W3 runtime/current-used,Referencia; no duplicar,NO NECESARIO,Nuevo mini asset,Consumer W3 preservado,Texto horneado,P1,Silueta sin copiar contenido operativo
FINAL-MEM-W4-001,world4_node_central_system_v01.png,"B — REUTILIZAR COMO REFERENCIA, GENERAR NUEVO",Autoridad visual Mundo IV,Referencia de sistema,Equipo de arte Final,Preproducción,1024×1024,PNG,Transparente,Ambas,Referencia,W4 runtime/current-used,Referencia; no duplicar,NO NECESARIO,Nuevo mini asset,Consumer W4 preservado,Iconografía técnica densa,P1,Síntesis legible sin master genérico
FINAL-MEM-W5-001,world5_map_sector_plants_v01.webp,"B — REUTILIZAR COMO REFERENCIA, GENERAR NUEVO",Autoridad visual Mundo V,Referencia de mapa,Equipo de arte Final,Preproducción,1536×1536,WEBP,Transparente,Ambas,Referencia,W5 runtime/current-used,Referencia; no duplicar,NO NECESARIO,Nuevo mini asset,Consumer W5 preservado,Duplicación binaria,P1,Nuevo arte específico; W5 byte-idéntico intacto
FINAL-UI-W2-001,world2_dialogue_panel_backplate_v01.png,"B — REUTILIZAR COMO REFERENCIA, GENERAR NUEVO",Referencia de diálogo,Patrón de placa orgánica,Equipo UI Final,Preproducción,1536×512,PNG,Transparente,Ambas,Referencia,W2 current-used,Referencia solamente,NO NECESARIO,"Evaluar 9-slice, no copiar estética",Contacto de copy,Estética W2 incompatible,P2,Consumidor W2 intacto; decisión humana antes de nuevo diseño
FINAL-UI-W4-TEXT-001,world4_text_card_backplate_v01.png,"F — CONDICIONAL, REQUIERE PRUEBA",Candidata técnica a backplate,9-slice probado,FinalRestartDialog,Preproducción,1536×512,PNG,Transparente,Ambas,Referencia/prueba,W4 current-used,Nuevo consumidor solo si estética pasa,NO NECESARIO,Reutilizar binario solo con aprobación,Prueba Art Bible,Arrastrar estética W4,P2,Compatibilidad técnica y artística documentadas por separado
FINAL-UI-W4-CTA-001,world4_open_world5_button_backplate_v01.png,"F — CONDICIONAL, REQUIERE PRUEBA",Candidata técnica a botón,9-slice neutral,FinalActions,Preproducción,1024×512,PNG,Transparente,Ambas,Referencia/prueba,W4 current-used,Nuevo consumidor solo si estética pasa,NO NECESARIO,Reutilizar binario solo con aprobación,Prueba Art Bible,Estados de foco incompatibles,P2,Target/foco/contraste pasan y aprobación humana explícita
FINAL-DOM-TITLE-001,FinalHeader.tsx,D — CÓDIGO DETERMINISTA,Declara cierre y completitud,h1 y subtítulo sobre placa,FinalHeader,/final,Viewport contractual,React/HTML,NO_APLICA_CÓDIGO,Ambas,z90,FINAL_TITLE_01/FINAL_SUBTITLE_01,Sistema editorial existente,NO NECESARIO,Texto operativo siempre DOM,Copy aprobado,Recorte o texto en imagen,P0,Un h1; 18 px mínimo portrait y 16 px landscape
FINAL-DOM-LABELS-001,FinalAccessLabel.tsx,D — CÓDIGO DETERMINISTA,Nombra I–V,Rótulos DOM,FinalAccessGroup,/final,Viewport contractual,React/HTML,NO_APLICA_CÓDIGO,Ambas,z45,10 slots label/confirm,Sistema editorial existente,NO NECESARIO,Texto DOM,Backplate y copy,Wrap excesivo,P0,Legible a 667×375; no horneado; locale es
FINAL-DOM-ACTIONS-001,FinalActions.tsx,D — CÓDIGO DETERMINISTA,Volver o reiniciar,Dos botones distinguibles,FinalActions,/final,Viewport contractual,React/HTML,NO_APLICA_CÓDIGO,Ambas,z90,Slots FINAL_BACK/RESTART,Código semántico existente como referencia,NO NECESARIO,Botones nativos,Contrato reset,Confusión entre acciones,P0,Ayudas explícitas; >=44×44; no solo color
FINAL-DOM-CREDITS-001,FinalCredits.tsx,D — CÓDIGO DETERMINISTA,Reconoce autoría,Dos líneas permanentes,FinalCredits,/final,Viewport contractual,React/HTML,NO_APLICA_CÓDIGO,Ambas,z90,FINAL_CREDITS_01,Slot existente,NO NECESARIO,Texto DOM,Copy exacto,Scroll o ilegibilidad,P0,Texto exacto; visible; lector; no estado separado
FINAL-DIALOG-001,FinalRestartDialog.tsx,D — CÓDIGO DETERMINISTA,Confirma pérdida de avance,Modal accesible,FinalRestartDialog,/final / restart,Viewport contractual,React/HTML,NO_APLICA_CÓDIGO,Ambas,z120,Mockup solo dirección,No aplica,NO NECESARIO,Código por semántica/foco,Reset transaction,Foco escapable,P0,role=dialog; aria-modal; trap; Escape; retorno de foco
