asset,path real,hash,dimensiones,alpha,consumidor actual,licencia/procedencia,compatible técnicamente,compatible artísticamente,decisión A/B/F/G,nuevo consumidor permitido,riesgo
world3_record_plant_v01.png,public/assets/gvo/current-used/world-3-root/records/world3_record_plant_v01.png,912236E758425A5056A542D4F8EDE7A71CE5A4952222B54AA1F716513F680E0C,1024×1024,yes,World3RootScreen,W3 runtime aprobado; licencia específica NO DOCUMENTADA,SÍ COMO FUENTE DE REFERENCIA; NO COMO PROMOCIÓN AUTOMÁTICA,REFERENCIA ÚNICAMENTE,B,NO para binario; generar asset específico del Mirador,Copiar literalmente o duplicar un binario de otro mundo
world3_record_signal_device_v01.png,public/assets/gvo/current-used/world-3-root/records/world3_record_signal_device_v01.png,753E27F49AFD5187A8EF4A0FCB9FB5576B3E49AF049FB9FF8EA7045B41469EDA,1024×768,yes,SignalTraceDisplay/World3RootScreen,W3 runtime aprobado; licencia específica NO DOCUMENTADA,SÍ COMO FUENTE DE REFERENCIA; NO COMO PROMOCIÓN AUTOMÁTICA,REFERENCIA ÚNICAMENTE,B,NO para binario; generar asset específico del Mirador,Copiar literalmente o duplicar un binario de otro mundo
world3_index_notebook_marks_sheet_v01.png,public/assets/gvo/current-used/world-3-root/index/world3_index_notebook_marks_sheet_v01.png,5B3D1E3631DA7454F765D7524A7479272A59E45B15109A895CBA8B5C4E3ED358,1024×512,yes,World3IndexNotebookMarks,W3 runtime aprobado; licencia específica NO DOCUMENTADA,SÍ COMO FUENTE DE REFERENCIA; NO COMO PROMOCIÓN AUTOMÁTICA,REFERENCIA ÚNICAMENTE,B,NO para binario; generar asset específico del Mirador,Copiar literalmente o duplicar un binario de otro mundo
world4_environment_base_v01.webp,public/assets/gvo/current-used/world-4-root/environment/world4_environment_base_v01.webp,3EA217DD2CD32A60B975AAAC004A0939722B964043824C2831BB077150177B5F,1536×1536,no,World4Stage,W4 runtime HUMAN_APPROVED; licencia específica NO DOCUMENTADA,SÍ COMO FUENTE DE REFERENCIA; NO COMO PROMOCIÓN AUTOMÁTICA,REFERENCIA ÚNICAMENTE,B,NO para binario; generar asset específico del Mirador,Copiar literalmente o duplicar un binario de otro mundo
world4_table_top_v01.png,public/assets/gvo/current-used/world-4-root/table/world4_table_top_v01.png,414D3DBF394ACC4C6649C46B6703400B8419E0EB912BA12ADAD36B56E9B74282,1536×1024,yes,World4Stage,W4 runtime HUMAN_APPROVED; licencia específica NO DOCUMENTADA,SÍ COMO FUENTE DE REFERENCIA; NO COMO PROMOCIÓN AUTOMÁTICA,REFERENCIA ÚNICAMENTE,B,NO para binario; generar asset específico del Mirador,Copiar literalmente o duplicar un binario de otro mundo
world4_system_route_base_v01.png,public/assets/gvo/current-used/world-4-root/route/world4_system_route_base_v01.png,111B8855F3FFE68BE5EE27DB16317C26C389012BAA1E36B5E8202863151460AB,1536×1024,yes,World4Stage,W4 runtime HUMAN_APPROVED; licencia específica NO DOCUMENTADA,SÍ COMO FUENTE DE REFERENCIA; NO COMO PROMOCIÓN AUTOMÁTICA,REFERENCIA ÚNICAMENTE,B,NO para binario; generar asset específico del Mirador,Copiar literalmente o duplicar un binario de otro mundo
world4_node_central_system_v01.png,public/assets/gvo/current-used/world-4-root/objects/world4_node_central_system_v01.png,069DDCF6DCA26053C067D649D8794A19C06D21307C0E725D2FE71AFF4DFF2EAA,1024×1024,yes,World4NodeStack,W4 runtime HUMAN_APPROVED; licencia específica NO DOCUMENTADA,SÍ COMO FUENTE DE REFERENCIA; NO COMO PROMOCIÓN AUTOMÁTICA,REFERENCIA ÚNICAMENTE,B,NO para binario; generar asset específico del Mirador,Copiar literalmente o duplicar un binario de otro mundo
world5_map_environment_portrait_v01.webp,public/assets/gvo/current-used/world-5-root/world5_map_environment_portrait_v01.webp,4EA310071C8D7D6CAEBAFBF2D245DF20F8F36603D0BF61E62EBCAD5FCD3546A0,1440×2560,no,world5RuntimeAssets/World5RootScreen,Manifest ST5-020G; fuente local registrada,SÍ COMO FUENTE DE REFERENCIA; NO COMO PROMOCIÓN AUTOMÁTICA,REFERENCIA ÚNICAMENTE,B,NO para binario; generar asset específico del Mirador,Copiar literalmente o duplicar un binario de otro mundo
world5_map_environment_landscape_v01.webp,public/assets/gvo/current-used/world-5-root/world5_map_environment_landscape_v01.webp,7EB9261B1ED1CE01B6ABAE302FA020A99DBFE2B5BA0F30A493E665F6753D938C,2560×1440,no,world5RuntimeAssets/World5RootScreen,Manifest ST5-020G; fuente local registrada,SÍ COMO FUENTE DE REFERENCIA; NO COMO PROMOCIÓN AUTOMÁTICA,REFERENCIA ÚNICAMENTE,B,NO para binario; generar asset específico del Mirador,Copiar literalmente o duplicar un binario de otro mundo
world5_map_sector_plants_v01.webp,public/assets/gvo/current-used/world-5-root/world5_map_sector_plants_v01.webp,6694571EF217B853C8A76E027F99988133315538E7A286721210BDD4D0E0A530,1536×1536,yes,world5RuntimeAssets/World5RootScreen,Manifest ST5-020G; fuente local registrada,SÍ COMO FUENTE DE REFERENCIA; NO COMO PROMOCIÓN AUTOMÁTICA,REFERENCIA ÚNICAMENTE,B,NO para binario; generar asset específico del Mirador,Copiar literalmente o duplicar un binario de otro mundo
world5_map_sector_system_v01.webp,public/assets/gvo/current-used/world-5-root/world5_map_sector_system_v01.webp,B1534F1E43D248A30283E0FA3A94C383F9012B1F146B329EB6F446F743805C20,1536×1536,yes,world5RuntimeAssets/World5RootScreen,Manifest ST5-020G; fuente local registrada,SÍ COMO FUENTE DE REFERENCIA; NO COMO PROMOCIÓN AUTOMÁTICA,REFERENCIA ÚNICAMENTE,B,NO para binario; generar asset específico del Mirador,Copiar literalmente o duplicar un binario de otro mundo
world2_dialogue_panel_backplate_v01.png,public/assets/gvo/current-used/world-2-root/dialogue/world2_dialogue_panel_backplate_v01.png,F6373B121E65B758FB64950A19D1B0D1531D48BA6A8FBD71272ACDA95902EB7D,1400×700,yes,World2RootScreen,W2 runtime; licencia específica NO DOCUMENTADA,SÍ COMO FUENTE DE REFERENCIA; NO COMO PROMOCIÓN AUTOMÁTICA,REFERENCIA ÚNICAMENTE,B,NO para binario; generar asset específico del Mirador,Copiar literalmente o duplicar un binario de otro mundo
world2_dialogue_card_mobile_safe_v01.png,public/assets/gvo/current-used/world-2-root/dialogue/world2_dialogue_card_mobile_safe_v01.png,31C8CD26AC29F7D555DEDFCD1F552D7B87B63757BEA05F716B263DC997487550,1400×700,yes,World2RootScreen,W2 runtime; licencia específica NO DOCUMENTADA,SÍ COMO FUENTE DE REFERENCIA; NO COMO PROMOCIÓN AUTOMÁTICA,REFERENCIA ÚNICAMENTE,B,NO para binario; generar asset específico del Mirador,Copiar literalmente o duplicar un binario de otro mundo
world4_text_card_backplate_v01.png,public/assets/gvo/current-used/world-4-root/ui/world4_text_card_backplate_v01.png,671C85418875F6AE70EA29D5E7D1AFDA4E3A761795949C0772BE9F974D480324,1536×512,yes,World4RootScreen,W4 runtime HUMAN_APPROVED; licencia específica NO DOCUMENTADA,PENDIENTE_DE_PRUEBA,PENDIENTE_DE_APROBACIÓN_HUMANA,F,CONDICIONAL; ticket y aprobación explícita,Mezcla de cámara/estilo o semántica del consumidor original
world4_open_world5_button_backplate_v01.png,public/assets/gvo/current-used/world-4-root/ui/world4_open_world5_button_backplate_v01.png,BA8F1C704892A7DE229564340BCAD08CABF80946337A5458933ECFEC70ACA875,1024×512,yes,World4RootScreen,W4 runtime HUMAN_APPROVED; licencia específica NO DOCUMENTADA,PENDIENTE_DE_PRUEBA,PENDIENTE_DE_APROBACIÓN_HUMANA,F,CONDICIONAL; ticket y aprobación explícita,Mezcla de cámara/estilo o semántica del consumidor original
